;ADR;AVG_PRICE;STANDARD_DEVIATION;COEF_OF_VARIATION;AVG_PRICE_>_0;year_house;house_info
2095;"
 Оренбургская ул., 24к2
 ";137331.0;16732.65835624055;0.12184181544036343;True;Дом 1974 года;Дом входит в программу сноса пятиэтажек в Москве, подробнее.5 этажейКирпичное зданиеЦентральное отопление2,70 м потолки100 квартирГазЛифт отсутствуетМусоропровода нет
2096;"
 Профсоюзная ул., 128А
 ";221910.95;29698.770083077514;0.13383192709993585;True;Дом 2019 года;18 этажейМонолитное здание3,00 м потолкиЛифтМусоропровод
2097;"
 ул. Маршала Бирюзова, 17
 ";209020.825;51029.612688069414;0.24413650021747552;True;Дом 1970 года;9 этажейКирпичное здание90 квартирГазЛифтМусоропровод
2098;"
 Петрозаводская ул., 3к1
 ";146305.775;26669.155961979282;0.18228368608128614;True;Дом 1969 года;9 этажейПанельное зданиеЦентральное отопление2,64 м потолки216 квартирГазЛифтМусоропровод
2099;"
 ул. Исаковского, 2к1
 ";179579.2;18042.01006567727;0.10046826172339152;True;Дом 1983 года;12 этажейПанельное зданиеЦентральное отопление2,64 м потолки306 квартирГаза нетЛифтМусоропровод
2100;"
 Гурьевский пр., 31к2
 ";171425.875;48809.75357507324;0.284728041056073;True;Дом 1988 года;17 этажейПанельное зданиеЦентральное отопление2,64 м потолки203 квартирыГаза нетЛифтМусоропровод
2101;"
 Изумрудная ул., 18
 ";168234.3;35375.72466339028;0.21027652900383742;True;Дом 2015 года;11 этажейМонолитное здание3,30 м потолкиЛифтМусоропровода нет
2102;"
 ул. Удальцова, 89к2
 ";183707.425;34627.29812798531;0.18849155459005162;True;Дом 1981 года;16 этажейПанельное зданиеЦентральное отопление2,64 м потолки254 квартирыГаза нетЛифтМусоропровод
2103;"
 ул. Борисовские Пруды, 18к1
 ";156909.75;15247.643442102783;0.09717460796478729;True;Дом 1986 года;17 этажейПанельное зданиеЦентральное отопление2,64 м потолки784 квартирыГаза нетЛифтМусоропровод
2104;"
 2-й Войковский пр., 1
 ";213808.14705882352;44475.03966346302;0.2080137743826334;True;Дом 1965 года;5 этажейКирпичное здание2,50 м потолкиГазЛифт отсутствуетМусоропровод
